					Sensor1		Sensor2		Sensor3													
					Luftfeuchtigkeit	Temperatur	Luftfeuchtigkeit	Temperatur	Luftfeuchtigkeit	Temperatur	Wasserstand					Sensor1		Sensor2		Sensor3		
Sensor1		1			57,6	22,4	55,9	22,6	57,1	22,8	21					Luftfeuchtigkeit	Temperatur	Luftfeuchtigkeit	Temperatur	Luftfeuchtigkeit	Temperatur	Wasserstand
Luftfeuchtigkeit	57,6	2			57,7	22,4	55,9	22,6	57,1	22,8	21				Mittelwert	58,11348651	22,07952048	57,80889111	21,71618382	59,64235764	21,69140859	26,86313686
Temperatur	22,4	3			57,7	22,4	55,9	22,6	57,1	22,8	20				Standartabweichung	0,856232911	0,35115077	1,312702434	0,44508395	1,422167878	0,387783107	12,62208116
Sensor2		4			57,7	22,4	55,8	22,6	57,1	22,8	21				Standartabweichung	0,85666092	0,351326301	1,313358622	0,445306436	1,422878785	0,38797695	12,62839062
Luftfeuchtigkeit	55,9	5			57,7	22,3	55,8	22,6	57	22,8	22				Delta_max-min	7,2	1,8	5,9	2	6,6	1,7	349
Temperatur	22,6	6			57,6	22,4	55,8	22,6	57	22,8	21											
Sensor3		7			57,6	22,4	55,7	22,6	57	22,8	21											
Luftfeuchtigkeit	57,1	8			57,6	22,4	55,7	22,6	57	22,8	21											
Temperatur	22,8	9			57,5	22,4	55,6	22,6	57	22,7	21											
sensor	21	10			57,5	22,4	55,7	22,6	57	22,7	21											
Sensor1		1			57,5	22,4	55,6	22,6	57	22,7	21											
Luftfeuchtigkeit	57,7	2			57,5	22,4	55,6	22,5	57	22,7	21											
Temperatur	22,4	3			57,5	22,4	55,6	22,5	57	22,7	21											
Sensor2		4			57,5	22,4	55,6	22,5	57	22,7	21											
Luftfeuchtigkeit	55,9	5			57,4	22,4	55,5	22,5	56,9	22,7	21											
Temperatur	22,6	6			57,4	22,4	55,5	22,5	56,9	22,7	21											
Sensor3		7			57,4	22,4	55,5	22,5	57	22,7	21											
Luftfeuchtigkeit	57,1	8			57,3	22,4	55,5	22,5	56,9	22,7	21											
Temperatur	22,8	9			57,3	22,4	55,5	22,5	56,9	22,7	21											
sensor	21	10			57,3	22,4	55,4	22,5	57	22,7	21											
Sensor1		1			57,3	22,4	55,4	22,5	57	22,6	22											
Luftfeuchtigkeit	57,7	2			57,2	22,4	55,5	22,4	57	22,6	21											
Temperatur	22,4	3			57,3	22,4	55,5	22,4	57	22,6	21											
Sensor2		4			57,3	22,4	55,4	22,4	56,9	22,6	21											
Luftfeuchtigkeit	55,9	5			57,2	22,4	55,4	22,4	56,9	22,6	21											
Temperatur	22,6	6			57,2	22,4	55,5	22,4	56,9	22,6	22											
Sensor3		7			57,3	22,4	55,5	22,4	57	22,6	20											
Luftfeuchtigkeit	57,1	8			57,2	22,4	55,4	22,4	57,1	22,6	21											
Temperatur	22,8	9			57,2	22,4	55,4	22,4	57,2	22,6	22											
sensor	20	10			57,2	22,4	55,4	22,4	57,2	22,6	21											
Sensor1		1			57,2	22,4	55,4	22,4	57	22,5	21											
Luftfeuchtigkeit	57,7	2			57,2	22,4	55,5	22,4	57,1	22,6	21											
Temperatur	22,4	3			57,2	22,4	55,4	22,4	57,1	22,5	20											
Sensor2		4			57,2	22,4	55,4	22,4	57,1	22,6	21											
Luftfeuchtigkeit	55,8	5			57,1	22,3	55,4	22,4	57,1	22,5	21											
Temperatur	22,6	6			57,1	22,4	55,4	22,4	57,1	22,5	22											
Sensor3		7			57,1	22,3	55,4	22,4	57,1	22,5	21											
Luftfeuchtigkeit	57,1	8			57,1	22,3	55,4	22,4	57,2	22,5	21											
Temperatur	22,8	9			57,1	22,3	55,4	22,3	57,1	22,5	21											
sensor	21	10			57,1	22,3	55,4	22,3	57,1	22,5	21											
Sensor1		1			57,1	22,3	55,4	22,3	57,1	22,5	21											
Luftfeuchtigkeit	57,7	2			57,1	22,3	55,4	22,3	57,1	22,5	21											
Temperatur	22,3	3			57,1	22,3	55,5	22,3	57,1	22,5	21											
Sensor2		4			57	22,3	55,5	22,3	57,1	22,5	22											
Luftfeuchtigkeit	55,8	5			57,1	22,3	55,5	22,3	57,1	22,5	21											
Temperatur	22,6	6			57,1	22,3	55,5	22,3	57,1	22,5	22											
Sensor3		7			57,1	22,3	55,5	22,3	57,1	22,5	21											
Luftfeuchtigkeit	57	8			57,1	22,3	55,5	22,3	57,1	22,4	21											
Temperatur	22,8	9			57,1	22,3	55,5	22,3	57,2	22,4	21											
