;;;;;;Temperatur;Wasserstand;Luftfeuchtigkeit;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;Mittelwert;23,79162512;66,27218345;59,56081755
sensor;68;2;;;;23,8;68;59,5;;;Standartabweichung;0,027701065;0,611206347;0,055505738
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;0,027714884;0,611511264;0,055533429
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;67;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;69;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;69;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;69;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;69;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;68;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;69;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;67;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;68;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;69;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;68;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,6;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;67;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;68;2;;;;23,8;66;59,5;;;;;;
